[2020-12-09 22:34:02,519] {/Users/alma/PycharmProjects/flaskProject/app/thread/entity.py:27} ERROR - jsonschema ValidationError: 'users' is a required property
[2020-12-09 22:34:02,519] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:21} ERROR - JSON WAS INVALID. Will... idk yet.
[2020-12-09 22:34:02,519] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:21} ERROR - JSON WAS INVALID. Will... idk yet.
[2020-12-09 22:34:02,523] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:16} DEBUG - JSON IS VALID. Will save thread in DB.
[2020-12-09 22:34:02,523] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:16} DEBUG - JSON IS VALID. Will save thread in DB.
[2020-12-09 22:34:02,647] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:18} DEBUG - Inserted Id: %s5fd142cae6e4108e60968e1c
[2020-12-09 22:34:02,647] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:18} DEBUG - Inserted Id: %s5fd142cae6e4108e60968e1c
[2020-12-09 22:35:00,844] {/Users/alma/PycharmProjects/flaskProject/app/message/service.py:27} DEBUG - JSON IS VALID. Will save thread in DB.
[2020-12-09 22:35:01,878] {/Users/alma/PycharmProjects/flaskProject/app/message/service.py:29} DEBUG - Inserted Id: %s5fd14304a5fa3d4fea70783c
[2020-12-09 22:35:01,881] {/Users/alma/PycharmProjects/flaskProject/app/message/entity.py:24} ERROR - jsonschema ValidationError: 'message' is a required property
[2020-12-09 22:35:01,882] {/Users/alma/PycharmProjects/flaskProject/app/message/service.py:32} ERROR - JSON WAS INVALID. Will... idk yet.
[2020-12-09 22:35:01,905] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:16} DEBUG - JSON IS VALID. Will save thread in DB.
[2020-12-09 22:35:01,905] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:16} DEBUG - JSON IS VALID. Will save thread in DB.
[2020-12-09 22:35:02,033] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:18} DEBUG - Inserted Id: %s5fd14305a5fa3d4fea70783d
[2020-12-09 22:35:02,033] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:18} DEBUG - Inserted Id: %s5fd14305a5fa3d4fea70783d
[2020-12-09 22:35:02,037] {/Users/alma/PycharmProjects/flaskProject/app/thread/entity.py:28} ERROR - jsonschema ValidationError: 'users' is a required property
[2020-12-09 22:35:02,037] {/Users/alma/PycharmProjects/flaskProject/app/thread/entity.py:28} ERROR - jsonschema ValidationError: 'users' is a required property
[2020-12-09 22:35:02,037] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:21} ERROR - JSON WAS INVALID. Will... idk yet.
[2020-12-09 22:35:02,037] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:21} ERROR - JSON WAS INVALID. Will... idk yet.
[2020-12-09 22:35:02,041] {/Users/alma/PycharmProjects/flaskProject/app/thread/entity.py:28} ERROR - jsonschema ValidationError: [] is too short
[2020-12-09 22:35:02,041] {/Users/alma/PycharmProjects/flaskProject/app/thread/entity.py:28} ERROR - jsonschema ValidationError: [] is too short
[2020-12-09 22:35:02,041] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:21} ERROR - JSON WAS INVALID. Will... idk yet.
[2020-12-09 22:35:02,041] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:21} ERROR - JSON WAS INVALID. Will... idk yet.
[2020-12-09 22:35:47,565] {/Users/alma/PycharmProjects/flaskProject/app/message/service.py:27} DEBUG - JSON IS VALID. Will save thread in DB.
[2020-12-09 22:35:48,549] {/Users/alma/PycharmProjects/flaskProject/app/message/service.py:29} DEBUG - Inserted Id: %s5fd143337eb9e91b1b0d7c42
[2020-12-09 22:35:48,552] {/Users/alma/PycharmProjects/flaskProject/app/message/entity.py:24} ERROR - jsonschema ValidationError: 'message' is a required property
[2020-12-09 22:35:48,552] {/Users/alma/PycharmProjects/flaskProject/app/message/service.py:32} ERROR - JSON WAS INVALID. Will... idk yet.
[2020-12-09 22:35:48,576] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:16} DEBUG - JSON IS VALID. Will save thread in DB.
[2020-12-09 22:35:48,576] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:16} DEBUG - JSON IS VALID. Will save thread in DB.
[2020-12-09 22:35:48,706] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:18} DEBUG - Inserted Id: %s5fd143347eb9e91b1b0d7c43
[2020-12-09 22:35:48,706] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:18} DEBUG - Inserted Id: %s5fd143347eb9e91b1b0d7c43
[2020-12-09 22:35:48,711] {/Users/alma/PycharmProjects/flaskProject/app/thread/entity.py:28} ERROR - jsonschema ValidationError: 'users' is a required property
[2020-12-09 22:35:48,711] {/Users/alma/PycharmProjects/flaskProject/app/thread/entity.py:28} ERROR - jsonschema ValidationError: 'users' is a required property
[2020-12-09 22:35:48,711] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:21} ERROR - JSON WAS INVALID. Will... idk yet.
[2020-12-09 22:35:48,711] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:21} ERROR - JSON WAS INVALID. Will... idk yet.
[2020-12-09 22:35:48,714] {/Users/alma/PycharmProjects/flaskProject/app/thread/entity.py:28} ERROR - jsonschema ValidationError: [] is too short
[2020-12-09 22:35:48,714] {/Users/alma/PycharmProjects/flaskProject/app/thread/entity.py:28} ERROR - jsonschema ValidationError: [] is too short
[2020-12-09 22:35:48,714] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:21} ERROR - JSON WAS INVALID. Will... idk yet.
[2020-12-09 22:35:48,714] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:21} ERROR - JSON WAS INVALID. Will... idk yet.
[2020-12-09 22:35:48,716] {/Users/alma/PycharmProjects/flaskProject/app/thread/entity.py:28} ERROR - jsonschema ValidationError: ['User1'] is too short
[2020-12-09 22:35:48,716] {/Users/alma/PycharmProjects/flaskProject/app/thread/entity.py:28} ERROR - jsonschema ValidationError: ['User1'] is too short
[2020-12-09 22:35:48,717] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:21} ERROR - JSON WAS INVALID. Will... idk yet.
[2020-12-09 22:35:48,717] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:21} ERROR - JSON WAS INVALID. Will... idk yet.
[2020-12-09 22:37:03,052] {/Users/alma/PycharmProjects/flaskProject/app/message/service.py:27} DEBUG - JSON IS VALID. Will save thread in DB.
[2020-12-09 22:37:04,631] {/Users/alma/PycharmProjects/flaskProject/app/message/service.py:29} DEBUG - Inserted Id: %s5fd1437f29918e98e878f39c
[2020-12-09 22:37:04,635] {/Users/alma/PycharmProjects/flaskProject/app/message/entity.py:24} ERROR - jsonschema ValidationError: 'message' is a required property
[2020-12-09 22:37:04,635] {/Users/alma/PycharmProjects/flaskProject/app/message/service.py:32} ERROR - JSON WAS INVALID. Will... idk yet.
[2020-12-09 22:37:04,657] {/Users/alma/PycharmProjects/flaskProject/app/thread/entity.py:29} ERROR - jsonschema ValidationError: ['quinn', 'jeff_goldblum'] is too short
[2020-12-09 22:37:04,657] {/Users/alma/PycharmProjects/flaskProject/app/thread/entity.py:29} ERROR - jsonschema ValidationError: ['quinn', 'jeff_goldblum'] is too short
[2020-12-09 22:37:04,657] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:21} ERROR - JSON WAS INVALID. Will... idk yet.
[2020-12-09 22:37:04,657] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:21} ERROR - JSON WAS INVALID. Will... idk yet.
[2020-12-09 22:37:04,721] {/Users/alma/PycharmProjects/flaskProject/app/thread/entity.py:29} ERROR - jsonschema ValidationError: 'users' is a required property
[2020-12-09 22:37:04,721] {/Users/alma/PycharmProjects/flaskProject/app/thread/entity.py:29} ERROR - jsonschema ValidationError: 'users' is a required property
[2020-12-09 22:37:04,721] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:21} ERROR - JSON WAS INVALID. Will... idk yet.
[2020-12-09 22:37:04,721] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:21} ERROR - JSON WAS INVALID. Will... idk yet.
[2020-12-09 22:37:04,723] {/Users/alma/PycharmProjects/flaskProject/app/thread/entity.py:29} ERROR - jsonschema ValidationError: [] is too short
[2020-12-09 22:37:04,723] {/Users/alma/PycharmProjects/flaskProject/app/thread/entity.py:29} ERROR - jsonschema ValidationError: [] is too short
[2020-12-09 22:37:04,724] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:21} ERROR - JSON WAS INVALID. Will... idk yet.
[2020-12-09 22:37:04,724] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:21} ERROR - JSON WAS INVALID. Will... idk yet.
[2020-12-09 22:37:04,725] {/Users/alma/PycharmProjects/flaskProject/app/thread/entity.py:29} ERROR - jsonschema ValidationError: ['User1'] is too short
[2020-12-09 22:37:04,725] {/Users/alma/PycharmProjects/flaskProject/app/thread/entity.py:29} ERROR - jsonschema ValidationError: ['User1'] is too short
[2020-12-09 22:37:04,726] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:21} ERROR - JSON WAS INVALID. Will... idk yet.
[2020-12-09 22:37:04,726] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:21} ERROR - JSON WAS INVALID. Will... idk yet.
[2020-12-09 22:37:04,728] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:16} DEBUG - JSON IS VALID. Will save thread in DB.
[2020-12-09 22:37:04,728] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:16} DEBUG - JSON IS VALID. Will save thread in DB.
